Design Name,Size,Finish,Swing,Glass Type,SKU,Quantity,Serial Numbers
Altea Double Door,"32"" x 80""",Satin White,Right Inswing,Clear,ALT-32X80-SW-RI-CLR,3,26-0618-0118;26-0618-0119;26-0618-0120
Altea Double Door,"36"" x 80""",Matte Black,Left Inswing,Rain,ALT-36X80-MB-LI-RN,3,26-0618-0121;26-0618-0122;26-0618-0123
Altea Double Door,"36"" x 96""",Oil-Rubbed Bronze,Right Outswing,Sidelite,ALT-36X96-ORB-RO-SDL,2,26-0618-0124;26-0618-0125
Altea Double Door,"72"" x 80""",Matte Black,Left Inswing,Clear,ALT-72X80-MB-LI-CLR,3,26-0618-0126;26-0618-0127;26-0618-0128
Cadiz Pivot Door,"42"" x 84""",Matte Black,Left Inswing,Clear,CAD-42X84-MB-LI-CLR,2,26-0618-0129;26-0618-0130
Cadiz Pivot Door,"48"" x 84""",Brushed Nickel,Left Inswing,Frosted,CAD-48X84-BN-LI-FRS,2,26-0618-0131;26-0618-0132
Cordova Sliding Window,"32"" x 80""",Matte Black,Right Inswing,Frosted,COR-32X80-MB-RI-FRS,2,26-0618-0133;26-0618-0134
Cordova Sliding Window,"36"" x 80""",Oil-Rubbed Bronze,Left Inswing,Clear,COR-36X80-ORB-LI-CLR,2,26-0618-0135;26-0618-0136
Cordova Sliding Window,"36"" x 96""",Brushed Nickel,Right Outswing,Rain,COR-36X96-BN-RO-RN,2,26-0618-0137;26-0618-0138
Cordova Sliding Window,"48"" x 36""",Matte Black,Left Inswing,Clear,COR-48X36-MB-LI-CLR,2,26-0618-0139;26-0618-0140
Granada Bi-fold Door,"36"" x 80""",Matte Black,Right Inswing,Clear,GRN-36X80-MB-RI-CLR,2,26-0618-0141;26-0618-0142
Granada Bi-fold Door,"36"" x 96""",Satin White,Left Inswing,Sidelite,GRN-36X96-SW-LI-SDL,2,26-0618-0143;26-0618-0144
Granada Bi-fold Door,"96"" x 80""",Matte Black,Left Inswing,Clear,GRN-96X80-MB-LI-CLR,2,26-0618-0145;26-0618-0146
Malaga Single Door,"32"" x 80""",Brushed Nickel,Left Inswing,None,MAL-32X80-BN-LI-NON,2,26-0618-0147;26-0618-0148
Malaga Single Door,"36"" x 80""",Gunmetal,Left Inswing,None,MAL-36X80-GM-LI-NON,2,26-0618-0149;26-0618-0150
Ronda Louvered Door,"32"" x 80""",Satin White,Right Inswing,None,RON-32X80-SW-RI-NON,2,26-0618-0151;26-0618-0152
Ronda Louvered Door,"36"" x 80""",Matte Black,Left Inswing,None,RON-36X80-MB-LI-NON,2,26-0618-0153;26-0618-0154
Sevilla French Door,"32"" x 80""",Brushed Nickel,Right Inswing,Rain,SEV-32X80-BN-RI-RN,2,26-0618-0155;26-0618-0156
Sevilla French Door,"36"" x 80""",Satin White,Left Inswing,None,SEV-36X80-SW-LI-NON,2,26-0618-0157;26-0618-0158
Sevilla French Door,"72"" x 80""",Matte White,Left Inswing,Frosted,SEV-72X80-MW-LI-FRS,2,26-0618-0159;26-0618-0160
Toledo Dutch Door,"36"" x 80""",Gunmetal,Right Inswing,Rain,TOL-36X80-GM-RI-RN,2,26-0618-0161;26-0618-0162
Toledo Dutch Door,"36"" x 80""",Matte Black,Left Inswing,Clear,TOL-36X80-MB-LI-CLR,2,26-0618-0163;26-0618-0164
Valencia Single Door,"32"" x 80""",Matte Black,Left Inswing,Clear,VAL-32X80-MB-LI-CLR,3,26-0618-0165;26-0618-0166;26-0618-0167
Valencia Single Door,"36"" x 80""",Matte Black,Right Inswing,Clear,VAL-36X80-MB-RI-CLR,2,26-0618-0168;26-0618-0169
Valencia Single Door,"36"" x 96""",Oil-Rubbed Bronze,Right Outswing,Frosted,VAL-36X96-ORB-RO-FRS,2,26-0618-0170;26-0618-0171
