Design Name,Size,Finish,Swing,Glass Type,SKU,Quantity,Serial Numbers,Customer Order
Valencia Single Door,36" x 80",Matte Black,Right Inswing,Clear,VAL-36X80-MB-RI-CLR,3,26-0622-0201;26-0622-0202;26-0622-0203,
Valencia Single Door,32" x 80",Matte Black,Left Inswing,Clear,VAL-32X80-MB-LI-CLR,2,26-0622-0204;26-0622-0205,
Sevilla French Door,72" x 80",Matte White,Left Inswing,Frosted,SEV-72X80-MW-LI-FRS,3,26-0622-0206;26-0622-0207;26-0622-0208,
Altea Double Door,36" x 96",Oil-Rubbed Bronze,Right Outswing,Sidelite,ALT-36X96-ORB-RO-SDL,2,26-0622-0209;26-0622-0210,
Malaga Single Door,36" x 80",Gunmetal,Left Inswing,None,MAL-36X80-GM-LI-NON,2,26-0622-0211;26-0622-0212,
Granada Bi-fold Door,36" x 80",Matte Black,Right Inswing,Clear,GRN-36X80-MB-RI-CLR,2,26-0622-0213;26-0622-0214,
Cordova Sliding Window,48" x 36",Matte Black,Left Inswing,Clear,COR-48X36-MB-LI-CLR,2,26-0622-0215;26-0622-0216,
Toledo Dutch Door,36" x 80",Matte Black,Left Inswing,Clear,TOL-36X80-MB-LI-CLR,2,26-0622-0217;26-0622-0218,
Cadiz Pivot Door,42" x 84",Matte Black,Left Inswing,Clear,CAD-42X84-MB-LI-CLR,2,26-0622-0219;26-0622-0220,
Ronda Louvered Door,36" x 80",Matte Black,Left Inswing,None,RON-36X80-MB-LI-NON,3,26-0622-0221;26-0622-0222;26-0622-0223,
Marbella French Door,72" x 96",Matte Black,Left Inswing,Clear,MRB-72X96-MB-LI-CLR,4,26-0622-0224;26-0622-0225;26-0622-0226;26-0622-0227,
Marbella French Door,36" x 80",Brushed Nickel,Right Inswing,Frosted,MRB-36X80-BN-RI-FRS,3,26-0622-0228;26-0622-0229;26-0622-0230,
Marbella French Door,48" x 80",Gunmetal,Left Inswing,Rain,MRB-48X80-GM-LI-RN,3,26-0622-0231;26-0622-0232;26-0622-0233,
Marbella French Door,60" x 80",Satin White,Right Outswing,Clear,MRB-60X80-SW-RO-CLR,3,26-0622-0234;26-0622-0235;26-0622-0236,
Segovia Barn Door,48" x 84",Matte Black,Right Inswing,Clear,SEG-48X84-MB-RI-CLR,4,26-0622-0237;26-0622-0238;26-0622-0239;26-0622-0240,
Segovia Barn Door,36" x 84",Satin White,Left Inswing,None,SEG-36X84-SW-LI-NON,3,26-0622-0241;26-0622-0242;26-0622-0243,
Segovia Barn Door,60" x 84",Oil-Rubbed Bronze,Left Inswing,Frosted,SEG-60X84-ORB-LI-FRS,3,26-0622-0244;26-0622-0245;26-0622-0246,
Segovia Barn Door,42" x 84",Brushed Nickel,Right Inswing,Rain,SEG-42X84-BN-RI-RN,4,26-0622-0247;26-0622-0248;26-0622-0249;26-0622-0250,
